title,mean_rating,number_of_ratings
'71 (2014),3.5,1
'Hellboy': The Seeds of Creation (2004),3.0,1
'Round Midnight (1986),2.5,1
'Til There Was You (1997),4.0,3
"'burbs, The (1989)",3.125,20
'night Mother (1986),3.0,1
(500) Days of Summer (2009),3.9324324324,37
*batteries not included (1987),3.3181818182000002,11
...And Justice for All (1979),3.65,10
10 (1979),2.0,3
10 Items or Less (2006),3.8333333333,3
10 Things I Hate About You (1999),3.4915254237,59
10 to Midnight (1983),2.5,1
"10,000 BC (2008)",2.4090909091,11
100 Girls (2000),2.8333333333,3
101 Dalmatians (1996),3.0714285714,42
101 Dalmatians (One Hundred and One Dalmatians) (1961),3.6351351351,37
101 Reykjavik (101 Reykjavík) (2000),2.0,1
102 Dalmatians (2000),2.6428571429,7
10th & Wolf (2006),4.5,1
"10th Kingdom, The (2000)",4.0,2
11-11-11 (11-11-11: The Prophecy) (2011),3.5,1
11:14 (2003),3.4,5
"11th Hour, The (2007)",4.1666666667,3
12 (2007),1.5,1
12 Angry Men (1957),4.1825396825,63
12 Angry Men (1997),3.0,1
12 Rounds (2009),2.875,4
12 Years a Slave (2013),3.7142857143,7
127 Hours (2010),3.9642857143,14
12:01 (1993),3.5,1
13 (2010),1.5,1
13 Assassins (Jûsan-nin no shikaku) (2010),3.5,5
13 Ghosts (1960),1.25,2
13 Going on 30 (2004),3.2692307692,13
13 Rue Madeleine (1947),3.0,1
"13th Warrior, The (1999)",3.3170731707,41
1408 (2007),3.2142857143,14
1492: Conquest of Paradise (1992),3.5,6
15 Minutes (2001),3.375,8
16 Blocks (2006),3.4642857143,14
17 Again (2009),2.875,8
1776 (1972),3.3333333333,6
187 (One Eight Seven) (1997),3.875,4
1900 (Novecento) (1976),4.25,2
1941 (1979),2.625,4
1984 (1956),4.25,2
1984 (Nineteen Eighty-Four) (1984),3.84375,16
2 Days in New York (2012),2.5,2
2 Days in Paris (2007),3.5,2
2 Days in the Valley (1996),3.54,25
"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",2.6944444444,18
2 Guns (2013),3.0714285714,7
20 Dates (1998),3.3571428571,7
20 Feet from Stardom (Twenty Feet from Stardom) (2013),3.5,1
