title,mean_rating,number_of_ratings
2001: A Space Odyssey (1968),3.9603174602999998,126
Ace Ventura: Pet Detective (1994),2.8497109827,173
Aladdin (1992),3.6020942408,191
Alien (1979),4.0641025641,156
Aliens (1986),4.1464968153,157
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",4.0756302521,119
American Beauty (1999),4.1574074074,216
American History X (1998),4.140776699,103
American Pie (1999),3.2663551402,107
Apocalypse Now (1979),4.0265486726,113
Apollo 13 (1995),3.9695431472,197
Austin Powers: International Man of Mystery (1997),3.4158415842,101
Austin Powers: The Spy Who Shagged Me (1999),3.1068376068,117
Babe (1995),3.6162790698,129
Back to the Future (1985),3.9436619718,213
Back to the Future Part II (1989),3.4362745098,102
Batman (1989),3.3894009217,217
Batman Begins (2005),4.0396039604,101
Batman Forever (1995),2.9649681529,157
"Beautiful Mind, A (2001)",3.9952380952,105
Beauty and the Beast (1991),3.5769230769,143
Beetlejuice (1988),3.5981308411,107
Being John Malkovich (1999),4.0161290323,124
"Big Lebowski, The (1998)",3.9811320755,106
"Birdcage, The (1996)",3.5518867925,106
Blade Runner (1982),4.1698717949,156
"Bourne Identity, The (2002)",3.8938053097000003,113
Braveheart (1995),4.1088709677,248
"Breakfast Club, The (1985)",3.7584745763000003,118
Broken Arrow (1996),3.0963302752,109
"Bug's Life, A (1998)",3.6078431373,102
Casablanca (1942),4.236,125
Clear and Present Danger (1994),3.6902985075,134
Clerks (1994),3.9801980198,101
Cliffhanger (1993),3.1140350877,114
"Clockwork Orange, A (1971)",3.8656716418,134
Crimson Tide (1995),3.8224299065,107
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",3.9732142857,112
Dances with Wolves (1990),3.7661691542,201
"Dark Knight, The (2008)",4.1417322835,127
Die Hard (1988),3.9181818182,165
Die Hard: With a Vengeance (1995),3.5,150
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.116,125
Dumb & Dumber (Dumb and Dumber) (1994),3.0033557047,149
E.T. the Extra-Terrestrial (1982),3.8205128205000003,156
Edward Scissorhands (1990),3.6153846154,104
Fargo (1996),4.2711442786,201
Ferris Bueller's Day Off (1986),3.9609375,128
"Fifth Element, The (1997)",3.8214285714000003,140
Fight Club (1999),4.1884057971,207
Finding Nemo (2003),3.8888888889,117
"Firm, The (1993)",3.5172413793,116
"Fish Called Wanda, A (1988)",3.9460784314,102
Forrest Gump (1994),4.1382636656,311
Four Weddings and a Funeral (1994),3.632,125
"Fugitive, The (1993)",3.9303278689,244
Full Metal Jacket (1987),4.1261261261,111
Get Shorty (1995),3.4907407407,108
Ghost (1990),3.3661971831,142
Ghostbusters (a.k.a. Ghost Busters) (1984),3.8741007194,139
Gladiator (2000),4.0518292683,164
"Godfather, The (1972)",4.3928571429,210
"Godfather: Part II, The (1974)",4.2607142857,140
GoldenEye (1995),3.6,135
Good Will Hunting (1997),4.1678571429,140
Goodfellas (1990),4.2592592593,135
"Green Mile, The (1999)",4.0247524752,101
Groundhog Day (1993),3.9554140127,157
Heat (1995),4.0739130435,115
Home Alone (1990),3.0322580645,124
"Hunt for Red October, The (1990)",3.9351851852,108
In the Line of Fire (1993),3.6952380952,105
Inception (2010),4.1893203883,103
"Incredibles, The (2004)",3.9264705882,102
Independence Day (a.k.a. ID4) (1996),3.3707317073,205
Indiana Jones and the Last Crusade (1989),4.0718562874,167
Indiana Jones and the Temple of Doom (1984),3.7431192661,109
Interview with the Vampire: The Vampire Chronicles (1994),3.5040983607,122
Jaws (1975),3.8440366972,109
Jerry Maguire (1996),3.7217741935,124
Jurassic Park (1993),3.6598639456,294
Kill Bill: Vol. 1 (2003),3.9772727273,110
L.A. Confidential (1997),4.1569343066,137
"Lion King, The (1994)",3.7709497207,179
"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.126984127,189
"Lord of the Rings: The Return of the King, The (2003)",4.1084337349,166
"Lord of the Rings: The Two Towers, The (2002)",4.0958083832,167
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.1284722222,144
"Mask, The (1994)",3.1130136986,146
"Matrix, The (1999)",4.2643678161,261
Memento (2000),4.0576923077,156
Men in Black (a.k.a. MIB) (1997),3.6279069767000003,172
Minority Report (2002),3.6851851852,108
Mission: Impossible (1996),3.4421965318,173
"Monsters, Inc. (2001)",3.8793103448,116
Monty Python and the Holy Grail (1975),4.3019480519,154
Monty Python's Life of Brian (1979),3.8106796117,103
Mrs. Doubtfire (1993),3.328313253,166
Natural Born Killers (1994),3.4594594595,111
"Net, The (1995)",3.1142857143000002,105
Ocean's Eleven (2001),3.743697479,119
One Flew Over the Cuckoo's Nest (1975),4.2727272727,143
Outbreak (1995),3.5223214285999997,112
Pirates of the Caribbean: The Curse of the Black Pearl (2003),3.8297872340000003,141
Pretty Woman (1990),3.4391891892,148
"Princess Bride, The (1987)",4.1637426901,171
Pulp Fiction (1994),4.16,325
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.2120535714,224
Rain Man (1988),3.9778761062,113
Reservoir Dogs (1992),4.1106870229,131
"Rock, The (1996)",3.75,160
Saving Private Ryan (1998),4.0374331551000004,187
Schindler's List (1993),4.2963709677,248
Seven (a.k.a. Se7en) (1995),4.1301020408,196
Shakespeare in Love (1998),3.9056603774000003,106
"Shawshank Redemption, The (1994)",4.4545454545,308
"Shining, The (1980)",4.0044642857,112
Shrek (2001),3.7563291139,158
"Silence of the Lambs, The (1991)",4.1948275862,290
"Sixth Sense, The (1999)",4.1308900524,191
Sleepless in Seattle (1993),3.5236220472,127
Speed (1994),3.5126903553,197
Spider-Man (2002),3.5098039216,102
Stand by Me (1986),4.0637254902,102
Star Trek: Generations (1994),3.3260869565,115
Star Wars: Episode I - The Phantom Menace (1999),3.1029411765,136
Star Wars: Episode IV - A New Hope (1977),4.1886446886,273
Star Wars: Episode V - The Empire Strikes Back (1980),4.2280701754,228
Star Wars: Episode VI - Return of the Jedi (1983),4.0315315315,222
Stargate (1994),3.3089171975,157
Taxi Driver (1976),4.0296610169,118
Terminator 2: Judgment Day (1991),3.9604743083000002,253
"Terminator, The (1984)",3.9847560976,164
There's Something About Mary (1998),3.6116071429,112
Titanic (1997),3.3562091502999998,153
Total Recall (1990),3.5654205607,107
Toy Story (1995),3.9073275862,232
Toy Story 2 (1999),3.9134615385,104
Trainspotting (1996),4.0087719298,114
True Lies (1994),3.5788043478000002,184
"Truman Show, The (1998)",3.8401639344,122
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.9396135266,207
Twister (1996),3.1985815603,141
"Usual Suspects, The (1995)",4.3289473684,228
Waterworld (1995),2.9349593496,123
While You Were Sleeping (1995),3.5643564356,101
Who Framed Roger Rabbit? (1988),3.5695652174,115
Willy Wonka & the Chocolate Factory (1971),3.7867647059,136
"Wizard of Oz, The (1939)",4.0900900901,111
X-Men (2000),3.5576923077,130
